Year,Name,Category,Rain Inch.,Highest Wind Speed,Damage(USD),Fatalities,Affected Areas
2000,Debby,Category 1,28.0,85,737000,1,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica"
2000,Gordon,Category 1,9.48,80,5100000,26,"Central America (particularly Belize), Yucatán Peninsula, Cuba, East Coast of the United States, Atlantic Canada"
2000,Helene,TS,9.56,70,16000000,2,"Lesser Antilles, Puerto Rico, Hispaniola, Jamaica, Cuba, Isle of Youth, Eastern United States, Atlantic Canada"
2000,Leslie,TS,17.5,45,950000000,3,"Cuba, Bahamas, Florida, Bermuda, Atlantic Canada, Europe"
2001,Allison,TS,40.0,60,9000000000,55,"Texas, Louisiana, Mississippi, Alabama, Georgia, Florida, South Carolina, North Carolina, Virginia, District of Columbia, Maryland, Delaware, Pennsylvania, New York, New Jersey, Rhode Island, New England, Atlantic Canada"
2001,Barry,TS,8.9,70,30000000,9,"Cuba, Southeastern United States (Especially Florida, Alabama)"
2001,Gabrielle,Category 1,15.1,80,230000000,3,"Florida, Newfoundland"
2001,Michelle,Category 4,41.65,140,2430000000,48,"Jamaica, Costa Rica, Nicaragua, Honduras, Cayman Islands, Cuba, Florida, Bahamas, Turks and Caicos Islands, Bermuda"
2002,Arthur,TS,4.49,60,,1,"Florida, Georgia, South Carolina, North Carolina, Bermuda, Newfoundland"
2002,Bertha,TS,3.0,40,200000,1,"Florida, Alabama, Mississippi, Louisiana, Texas"
2002,Cristobal,TS,2.78,50,,3,"Bermuda, New York"
2002,Edouard,TS,7.64,65,,0,Florida
2002,Hanna,TS,5.75,60,20000000,3,"Florida, Louisiana, Alabama, Mississippi, Georgia, Southeast U.S., Mid-Atlantic"
2002,Isidore,Category 3,21.7,125,1280000000,22,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi"
2002,Lili,Category 4,4.14,145,1160000000,15,"Windward Islands, Haiti, Jamaica, Cuba, Yucatan Peninsula, Cayman Islands, Louisiana"
2002,Kyle,Category 1,2.19,85,5000000,1,"Bermuda, Florida, Georgia, Carolinas, British Isles"
2003,Ana,TS,2.63,60,,2,"Venezuela, Jamaica, Cayman Islands, Cuba, Yucatán Peninsula, Louisiana, Mississippi"
2003,Bill,TS,4.0,60,50500000,4,"Mexico, Gulf Coast of the United States, Southeastern United States"
2003,Claudette,Category 1,3.0,90,181000000,3,"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas"
2003,Erika,Category 1,3.83,75,100000,2,"The Bahamas, Florida, Mexico, Southern Texas"
2003,Grace,TS,10.36,40,113000,0,"Texas, Oklahoma, Ohio Valley, Mid-Atlantic States"
2003,Henri,TS,10.0,60,19600000,0,"Florida, Delaware, Pennsylvania"
2003,Isabel,Category 5,1.34,165,3600000000,51,"Lesser Antilles, Greater Antilles, Lucayan Archipelago, East Coast of the United States, Atlantic Canada"
2004,Bonnie,TS,4.64,65,1270000,4,"Lesser Antilles, Hispaniola, Jamaica, Cuba, Yucatán Peninsula, Florida, Georgia, South Carolina, North Carolina, Virginia, Maine"
2004,Charley,Category 4,5.87,150,16900000000,35,"Jamaica, Cayman Islands, Cuba, Florida, The Carolinas"
2004,Frances,Category 4,13.0,145,10100000000,50,"Virgin Islands, Puerto Rico, Turks and Caicos Islands, Bahamas, Florida, Atlantic Canada"
2004,Ivan,Category 5,15.75,107,4000000000,29,"Windward Islands (especially Grenada), Trinidad and Tobago, Venezuela, Barbados, Jamaica, Hispaniola, Grand Cayman, Cuba, Yucatan Peninsula, Eastern United States, Florida, Alabama, most of the United States Gulf Coast, and Canada"
2004,Jeanne,Category 3,11.97,128,7500000000,6,"U.S. Virgin Islands, Puerto Rico, Dominican Republic, Haiti, Bahamas, Florida, Eastern United States"
2004,Matthew,TS,3.29,45,305000,0,"Louisiana, Mississippi, Alabama, Florida, Arkansas, Missouri, Ohio Valley"
